Time,Tag,Code,Log
1679556324,GNSS,0,"$GNRMC,072435.000,A,2649.290454,N,07551.405432,E,0.00,91.28,230323,,,D,V*3C"
1679556329,GNSS,0,
1679556334,GNSS,0,"$GNRMC,072450.000,A,2649.290620,N,07551.406474,E,0.00,91.28,230323,,,D,V*3F"
1679556339,GNSS,0,
1679556344,GNSS,0,
1679556349,GNSS,0,
1679556354,GNSS,0,"$GNRMC,072506.000,A,2649.290314,N,07551.406260,E,0.00,91.28,230323,,,D,V*3C"
1679556359,GNSS,0,"$GNRMC,072521.000,A,2649.290292,N,07551.407121,E,0.00,91.28,230323,,,D,V*31"
1679556364,GNSS,0,
1679556369,GNSS,0,
1679556374,GNSS,0,
1679556379,GNSS,0,"$GNRMC,072537.000,A,2649.292211,N,07551.403025,E,0.00,91.28,230323,,,D,V*3E"
1679556384,GNSS,0,
1679556389,GNSS,0,
1679556394,GNSS,0,
1679556399,GNSS,0,"$GNRMC,072553.000,A,2649.290949,N,07551.403929,E,0.00,91.28,230323,,,D,V*3D"
1679556404,GNSS,0,
1679556409,GNSS,0,"$GNRMC,072608.000,A,2649.291908,N,07551.402975,E,0.00,91.28,230323,,,D,V*3C"
1679556414,GNSS,0,
1679556419,GNSS,0,"$GNRMC,072609.000,A,2649.292157,N,07551.403289,E,0.00,91.28"
1679556424,GNSS,0,"$GNRMC,072624.000,A,2649.290380,N"
1679556429,GNSS,0,
1679556434,GNSS,0,
1679556439,GNSS,0,
1679556444,GNSS,0,"$GNRMC,072640.000,A,2649.288820,N,07551.403533,E,0.00,91.28,230323,,,D,V*3C"
1679556449,GNSS,0,
1679556454,GNSS,0,
1679556459,GNSS,0,
1679556464,GNSS,0,"$GNRMC,072656.000,A,2649.289922,N,07551.400048,E,0.00,91.28,230323,,,D,V*33"
1679556469,GNSS,0,"$GNRMC,072711.000,A,2649.289705,N,07551.400338,E,0.00,91.28,230323,,,D,V*3E"
1679556474,GNSS,0,
1679556479,GNSS,0,
